region;comuna;sscuenca_dga;cod_estacion;nombre_estacion;zona;altitud (m.s.n.m);temperatura (°C);humedad_relativa (%);presion_atmosferica (hPAS);direccion_viento (°);fuerza_viento (kt);precipitación (mm);radiacion (W/m²);anyo;fecha_hora
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;;0.0;0.0;0.0;;2006.0;2006-05-05 17:45:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;;0.0;0.0;0.0;;2006.0;2006-05-05 18:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1008.725;0.0;0.0;0.0;;2006.0;2006-05-05 19:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1008.833;0.0;0.0;0.0;;2006.0;2006-05-05 20:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.1;0.0;0.0;0.0;;2006.0;2006-05-05 21:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.8;76.8;1009.625;0.0;0.0;0.0;;2006.0;2006-05-05 22:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.4;78.3;1010.3;0.0;0.0;0.0;;2006.0;2006-05-05 23:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.1;78.3;1011.1;0.0;0.0;0.0;;2006.0;2006-05-06 00:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.7;77.8;1011.55;0.0;0.0;0.0;;2006.0;2006-05-06 01:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.28;74.8;1011.45;0.0;0.0;0.0;;2006.0;2006-05-06 02:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.08;72.0;1011.325;0.0;0.0;0.0;;2006.0;2006-05-06 03:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.25;0.0;0.0;0.0;;2006.0;2006-05-06 04:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.05;0.0;0.0;0.0;;2006.0;2006-05-06 05:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.65;0.0;0.0;0.0;;2006.0;2006-05-06 06:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.325;0.0;0.0;0.0;;2006.0;2006-05-06 07:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.3;0.0;0.0;0.0;;2006.0;2006-05-06 08:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.475;0.0;0.0;0.0;;2006.0;2006-05-06 09:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;15.0;70.5;1010.775;0.0;0.0;0.0;;2006.0;2006-05-06 10:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;15.03;70.8;1011.325;0.0;0.0;0.0;;2006.0;2006-05-06 11:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.78;64.0;1011.875;0.0;0.0;0.0;;2006.0;2006-05-06 12:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;19.68;60.3;1011.95;0.0;0.0;0.0;;2006.0;2006-05-06 13:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;20.5;60.8;1012.175;0.0;0.0;0.0;;2006.0;2006-05-06 14:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.975;0.0;0.0;0.0;;2006.0;2006-05-06 15:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.15;0.0;0.0;0.0;;2006.0;2006-05-06 16:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.55;0.0;0.0;0.0;;2006.0;2006-05-06 17:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.775;0.0;0.0;0.0;;2006.0;2006-05-06 18:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.2;0.0;0.0;0.0;;2006.0;2006-05-06 19:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1008.95;0.0;0.0;0.0;;2006.0;2006-05-06 20:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1008.95;0.0;0.0;0.0;;2006.0;2006-05-06 21:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.25;0.0;0.0;0.0;;2006.0;2006-05-06 22:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;;0.0;0.0;0.0;;2006.0;2006-05-06 23:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.15;74.0;1010.9;0.0;0.0;0.0;;2006.0;2006-05-07 00:30:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.5;73.3;1011.225;0.0;0.0;0.0;;2006.0;2006-05-07 01:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;16.9;74.0;1011.65;0.0;0.0;0.0;;2006.0;2006-05-07 02:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;16.6;75.0;1011.95;0.0;0.0;0.0;;2006.0;2006-05-07 03:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.33;75.3;1011.85;0.0;0.0;0.0;;2006.0;2006-05-07 04:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.25;0.0;0.0;0.0;;2006.0;2006-05-07 05:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.55;0.0;0.0;0.0;;2006.0;2006-05-07 06:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.05;0.0;0.0;0.0;;2006.0;2006-05-07 07:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.9;0.0;0.0;0.0;;2006.0;2006-05-07 08:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.75;0.0;0.0;0.0;;2006.0;2006-05-07 09:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.15;0.0;0.0;0.0;;2006.0;2006-05-07 10:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.55;66.0;1010.575;0.0;0.0;0.0;;2006.0;2006-05-07 11:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.7;65.8;1011.025;0.0;0.0;0.0;;2006.0;2006-05-07 12:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;19.05;65.0;1011.375;0.0;0.0;0.0;;2006.0;2006-05-07 13:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;19.35;64.0;1011.775;0.0;0.0;0.0;;2006.0;2006-05-07 14:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.2;0.0;0.0;0.0;;2006.0;2006-05-07 15:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.45;0.0;0.0;0.0;;2006.0;2006-05-07 16:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.75;75.5;1010.85;0.0;0.0;0.0;;2006.0;2006-05-08 00:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.08;76.3;1011.975;0.0;0.0;0.0;;2006.0;2006-05-08 01:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.98;76.5;1012.375;0.0;0.0;0.0;;2006.0;2006-05-08 02:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.2;72.0;1012.15;0.0;0.0;0.0;;2006.0;2006-05-08 03:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.425;0.0;0.0;0.0;;2006.0;2006-05-08 04:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.475;0.0;0.0;0.0;;2006.0;2006-05-08 05:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.775;0.0;0.0;0.0;;2006.0;2006-05-08 06:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.275;0.0;0.0;0.0;;2006.0;2006-05-08 07:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1008.925;0.0;0.0;0.0;;2006.0;2006-05-08 08:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.15;0.0;0.0;0.0;;2006.0;2006-05-08 09:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.38;67.0;1009.725;0.0;0.0;0.0;;2006.0;2006-05-08 10:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.4;66.8;1010.375;0.0;0.0;0.0;;2006.0;2006-05-08 11:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.35;66.0;1010.825;0.0;0.0;0.0;;2006.0;2006-05-08 12:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.63;66.3;1011.225;0.0;0.0;0.0;;2006.0;2006-05-08 13:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.77;65.3;1011.1;0.0;0.0;0.0;;2006.0;2006-05-08 14:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.725;0.0;0.0;0.0;;2006.0;2006-05-08 15:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.35;0.0;0.0;0.0;;2006.0;2006-05-08 16:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.375;0.0;0.0;0.0;;2006.0;2006-05-08 17:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1008.075;0.0;0.0;0.0;;2006.0;2006-05-08 18:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1007.525;0.0;0.0;0.0;;2006.0;2006-05-08 19:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;;0.0;0.0;0.0;;2006.0;2006-05-08 20:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1008.3;0.0;0.0;0.0;;2006.0;2006-05-08 21:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.3;68.5;1008.8;0.0;0.0;0.0;;2006.0;2006-05-08 22:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;16.93;74.8;1010.85;0.0;0.0;0.0;;2006.0;2006-05-09 00:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;15.93;71.0;1011.275;0.0;0.0;0.0;;2006.0;2006-05-09 01:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;15.95;69.8;1011.475;0.0;0.0;0.0;;2006.0;2006-05-09 02:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;16.1;70.0;1011.475;0.0;0.0;0.0;;2006.0;2006-05-09 03:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.275;0.0;0.0;0.0;;2006.0;2006-05-09 04:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.825;0.0;0.0;0.0;;2006.0;2006-05-09 05:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.5;0.0;0.0;0.0;;2006.0;2006-05-09 06:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.25;0.0;0.0;0.0;;2006.0;2006-05-09 07:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.275;0.0;0.0;0.0;;2006.0;2006-05-09 08:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.2;0.0;0.0;0.0;;2006.0;2006-05-09 09:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;12.95;76.8;1010.625;0.0;0.0;0.0;;2006.0;2006-05-09 10:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;13.4;76.0;1011.2;0.0;0.0;0.0;;2006.0;2006-05-09 11:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;16.55;69.5;1011.8;0.0;0.0;0.0;;2006.0;2006-05-09 12:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.7;63.3;1011.625;0.0;0.0;0.0;;2006.0;2006-05-09 13:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.35;0.0;0.0;0.0;;2006.0;2006-05-09 14:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.625;0.0;0.0;0.0;;2006.0;2006-05-09 15:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.825;0.0;0.0;0.0;;2006.0;2006-05-09 16:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.125;0.0;0.0;0.0;;2006.0;2006-05-09 17:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1008.4;0.0;0.0;0.0;;2006.0;2006-05-09 18:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1007.925;0.0;0.0;0.0;;2006.0;2006-05-09 19:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1007.7;0.0;0.0;0.0;;2006.0;2006-05-09 20:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1007.875;0.0;0.0;0.0;;2006.0;2006-05-09 21:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.6;68.0;1008.4;0.0;0.0;0.0;;2006.0;2006-05-09 22:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.25;70.3;1009.25;0.0;0.0;0.0;;2006.0;2006-05-09 23:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.1;71.0;1009.7;0.0;0.0;0.0;;2006.0;2006-05-10 00:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.4;66.5;1012.975;0.0;0.0;0.0;;2006.0;2006-05-11 00:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.8;66.0;1013.625;0.0;0.0;0.0;;2006.0;2006-05-11 01:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.68;66.8;1013.7;0.0;0.0;0.0;;2006.0;2006-05-11 02:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.7;64.8;1013.45;0.0;0.0;0.0;;2006.0;2006-05-11 03:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1013.15;0.0;0.0;0.0;;2006.0;2006-05-11 04:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1012.4;0.0;0.0;0.0;;2006.0;2006-05-11 05:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.35;0.0;0.0;0.0;;2006.0;2006-05-11 06:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.7;0.0;0.0;0.0;;2006.0;2006-05-11 07:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.625;0.0;0.0;0.0;;2006.0;2006-05-11 08:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.975;0.0;0.0;0.0;;2006.0;2006-05-11 09:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.4;65.0;1011.525;0.0;0.0;0.0;;2006.0;2006-05-11 10:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.8;64.5;1012.0;0.0;0.0;0.0;;2006.0;2006-05-11 11:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;19.38;63.5;1012.2;0.0;0.0;0.0;;2006.0;2006-05-11 12:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;20.0;61.5;1012.375;0.0;0.0;0.0;;2006.0;2006-05-11 13:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1012.225;0.0;0.0;0.0;;2006.0;2006-05-11 14:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.625;0.0;0.0;0.0;;2006.0;2006-05-11 15:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.225;0.0;0.0;0.0;;2006.0;2006-05-11 16:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.75;0.0;0.0;0.0;;2006.0;2006-05-11 17:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.5;0.0;0.0;0.0;;2006.0;2006-05-11 18:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.4;0.0;0.0;0.0;;2006.0;2006-05-11 19:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.6;0.0;0.0;0.0;;2006.0;2006-05-11 20:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;19.3;68.8;1011.4;0.0;0.0;0.0;;2006.0;2006-05-11 21:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.6;74.5;1012.425;0.0;0.0;0.0;;2006.0;2006-05-11 22:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.1;75.0;1013.375;0.0;0.0;0.0;;2006.0;2006-05-11 23:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.73;72.3;1013.975;0.0;0.0;0.0;;2006.0;2006-05-12 00:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.63;69.8;1013.775;0.0;0.0;0.0;;2006.0;2006-05-12 01:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1013.225;0.0;0.0;0.0;;2006.0;2006-05-12 02:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1012.975;0.0;0.0;0.0;;2006.0;2006-05-12 03:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1012.725;0.0;0.0;0.0;;2006.0;2006-05-12 04:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1012.225;0.0;0.0;0.0;;2006.0;2006-05-12 05:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.5;0.0;0.0;0.0;;2006.0;2006-05-12 06:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.975;0.0;0.0;0.0;;2006.0;2006-05-12 07:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.825;0.0;0.0;0.0;;2006.0;2006-05-12 08:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.875;0.0;0.0;0.0;;2006.0;2006-05-12 09:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.175;0.0;0.0;0.0;;2006.0;2006-05-12 10:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.58;68.0;1011.575;0.0;0.0;0.0;;2006.0;2006-05-12 11:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.83;68.0;1011.65;0.0;0.0;0.0;;2006.0;2006-05-12 12:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.23;68.0;1011.6;0.0;0.0;0.0;;2006.0;2006-05-12 13:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.4;67.8;1011.65;0.0;0.0;0.0;;2006.0;2006-05-12 14:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1011.4;0.0;0.0;0.0;;2006.0;2006-05-12 15:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1010.75;0.0;0.0;0.0;;2006.0;2006-05-12 16:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.7;0.0;0.0;0.0;;2006.0;2006-05-12 17:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.0;0.0;0.0;0.0;;2006.0;2006-05-12 18:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1008.55;0.0;0.0;0.0;;2006.0;2006-05-12 19:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1008.625;0.0;0.0;0.0;;2006.0;2006-05-12 20:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.2;68.8;1009.125;0.0;0.0;0.0;;2006.0;2006-05-12 21:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.65;70.0;1009.725;0.0;0.0;0.0;;2006.0;2006-05-12 22:00:00
